,Word1,Word2,Word3,Target,Predicted
0,athens,greece,baghdad,iraq,kirkuk
1,athens,greece,bangkok,thailand,bhutan
2,athens,greece,bern,switzerland,aargau
3,athens,greece,canberra,australia,asio
4,athens,greece,hanoi,vietnam,vientiane
5,athens,greece,havana,cuba,gooding
6,athens,greece,helsinki,finland,tallinn
7,athens,greece,london,england,longman
8,baghdad,iraq,beijing,china,prc
9,baghdad,iraq,bern,switzerland,aargau
10,baghdad,iraq,cairo,egypt,libya
11,baghdad,iraq,london,england,britain
12,baghdad,iraq,madrid,spain,honduras
13,baghdad,iraq,moscow,russia,soviet
14,baghdad,iraq,oslo,norway,accords
15,bangkok,thailand,bern,switzerland,aargau
16,bangkok,thailand,canberra,australia,ecozone
17,bangkok,thailand,hanoi,vietnam,laos
18,bangkok,thailand,helsinki,finland,tallinn
19,bangkok,thailand,islamabad,pakistan,baluchistan
20,bangkok,thailand,london,england,croydon
21,bangkok,thailand,madrid,spain,galicia
22,bangkok,thailand,ottawa,canada,manitoba
23,bangkok,thailand,rome,italy,constantinople
24,bangkok,thailand,tokyo,japan,osaka
25,bangkok,thailand,athens,greece,thebes
26,bangkok,thailand,baghdad,iraq,hussein
27,beijing,china,bern,switzerland,aargau
28,beijing,china,hanoi,vietnam,tuva
29,beijing,china,rome,italy,sicily
30,beijing,china,baghdad,iraq,persia
31,beijing,china,bangkok,thailand,tuva
32,berlin,germany,bern,switzerland,alsace
33,berlin,germany,hanoi,vietnam,phnom
34,berlin,germany,havana,cuba,france
35,berlin,germany,helsinki,finland,espoo
36,berlin,germany,kabul,afghanistan,mujahedin
37,berlin,germany,madrid,spain,france
38,berlin,germany,baghdad,iraq,persia
39,berlin,germany,beijing,china,japan
40,bern,switzerland,kabul,afghanistan,taliban
41,bern,switzerland,london,england,sydney
42,bern,switzerland,oslo,norway,dflp
43,bern,switzerland,baghdad,iraq,abbasid
44,bern,switzerland,beijing,china,wushu
45,cairo,egypt,london,england,britain
46,cairo,egypt,rome,italy,carthage
47,cairo,egypt,tokyo,japan,osaka
48,cairo,egypt,bern,switzerland,aargau
49,canberra,australia,moscow,russia,soviet
50,canberra,australia,athens,greece,aegina
51,canberra,australia,baghdad,iraq,abbasid
52,canberra,australia,bern,switzerland,aargau
53,hanoi,vietnam,helsinki,finland,finnish
54,hanoi,vietnam,islamabad,pakistan,unicef
55,hanoi,vietnam,moscow,russia,soviet
56,hanoi,vietnam,rome,italy,hispania
57,hanoi,vietnam,tehran,iran,iraq
58,hanoi,vietnam,athens,greece,athenians
59,hanoi,vietnam,bangkok,thailand,apec
60,hanoi,vietnam,beijing,china,taiwan
